11/18/2014 04:24:08 PM DEBUG: Loading data...
11/18/2014 04:24:08 PM DEBUG: Loading data...
11/18/2014 04:24:08 PM DEBUG: Initialize AveragePerceptronLearner ... 
11/18/2014 04:24:08 PM DEBUG: Loading data...
11/18/2014 04:24:08 PM DEBUG: Loading section 02 
11/18/2014 04:24:16 PM DEBUG: Loading section 03 
11/18/2014 04:24:25 PM DEBUG: Loading section 04 
11/18/2014 04:24:36 PM DEBUG: Loading section 05 
11/18/2014 04:24:47 PM DEBUG: Loading section 06 
11/18/2014 04:24:57 PM DEBUG: Loading section 07 
11/18/2014 04:25:09 PM DEBUG: Loading section 08 
11/18/2014 04:25:11 PM DEBUG: Loading section 09 
11/18/2014 04:25:23 PM DEBUG: Loading section 10 
11/18/2014 04:25:31 PM DEBUG: Loading section 11 
11/18/2014 04:25:44 PM DEBUG: Loading section 12 
11/18/2014 04:25:53 PM DEBUG: Loading section 13 
11/18/2014 04:26:09 PM DEBUG: Loading section 14 
11/18/2014 04:26:17 PM DEBUG: Loading section 15 
11/18/2014 04:26:34 PM DEBUG: Loading section 16 
11/18/2014 04:26:45 PM DEBUG: Loading section 17 
11/18/2014 04:26:52 PM DEBUG: Loading section 18 
11/18/2014 04:27:11 PM DEBUG: Loading section 19 
11/18/2014 04:27:18 PM DEBUG: Loading section 20 
11/18/2014 04:27:26 PM DEBUG: Loading section 21 
11/18/2014 04:27:33 PM DEBUG: Starting sequential train ... 
11/18/2014 04:27:33 PM DEBUG: Iteration: 0
11/18/2014 04:27:33 PM DEBUG: Data size: 39832
11/18/2014 04:27:33 PM DEBUG: Data finishing 0.00% ...
11/18/2014 04:29:46 PM DEBUG: Data finishing 2.51% ...
11/18/2014 04:31:53 PM DEBUG: Data finishing 5.02% ...
11/18/2014 04:34:00 PM DEBUG: Data finishing 7.53% ...
11/18/2014 04:36:03 PM DEBUG: Data finishing 10.04% ...
11/18/2014 04:38:07 PM DEBUG: Data finishing 12.55% ...
11/18/2014 04:40:17 PM DEBUG: Data finishing 15.06% ...
11/18/2014 04:42:27 PM DEBUG: Data finishing 17.57% ...
11/18/2014 04:44:34 PM DEBUG: Data finishing 20.08% ...
11/18/2014 04:46:40 PM DEBUG: Data finishing 22.59% ...
11/18/2014 04:48:49 PM DEBUG: Data finishing 25.11% ...
11/18/2014 04:50:49 PM DEBUG: Data finishing 27.62% ...
11/18/2014 04:52:49 PM DEBUG: Data finishing 30.13% ...
11/18/2014 04:55:05 PM DEBUG: Data finishing 32.64% ...
11/18/2014 04:57:11 PM DEBUG: Data finishing 35.15% ...
11/18/2014 04:59:08 PM DEBUG: Data finishing 37.66% ...
11/18/2014 05:01:19 PM DEBUG: Data finishing 40.17% ...
11/18/2014 05:03:09 PM DEBUG: Data finishing 42.68% ...
11/18/2014 05:05:08 PM DEBUG: Data finishing 45.19% ...
11/18/2014 05:07:22 PM DEBUG: Data finishing 47.70% ...
11/18/2014 05:09:17 PM DEBUG: Data finishing 50.21% ...
11/18/2014 05:11:21 PM DEBUG: Data finishing 52.72% ...
11/18/2014 05:13:22 PM DEBUG: Data finishing 55.23% ...
11/18/2014 05:15:28 PM DEBUG: Data finishing 57.74% ...
11/18/2014 05:17:27 PM DEBUG: Data finishing 60.25% ...
11/18/2014 05:19:36 PM DEBUG: Data finishing 62.76% ...
11/18/2014 05:21:40 PM DEBUG: Data finishing 65.27% ...
11/18/2014 05:23:41 PM DEBUG: Data finishing 67.78% ...
11/18/2014 05:25:38 PM DEBUG: Data finishing 70.30% ...
11/18/2014 05:27:50 PM DEBUG: Data finishing 72.81% ...
11/18/2014 05:29:55 PM DEBUG: Data finishing 75.32% ...
11/18/2014 05:32:08 PM DEBUG: Data finishing 77.83% ...
11/18/2014 05:33:54 PM DEBUG: Data finishing 80.34% ...
11/18/2014 05:36:01 PM DEBUG: Data finishing 82.85% ...
11/18/2014 05:37:57 PM DEBUG: Data finishing 85.36% ...
11/18/2014 05:40:19 PM DEBUG: Data finishing 87.87% ...
11/18/2014 05:42:25 PM DEBUG: Data finishing 90.38% ...
11/18/2014 05:44:26 PM DEBUG: Data finishing 92.89% ...
11/18/2014 05:46:25 PM DEBUG: Data finishing 95.40% ...
11/18/2014 05:48:35 PM DEBUG: Data finishing 97.91% ...
11/18/2014 05:50:32 PM DEBUG: Iteration: 1
11/18/2014 05:50:32 PM DEBUG: Data size: 39832
11/18/2014 05:50:32 PM DEBUG: Data finishing 0.00% ...
11/18/2014 05:50:39 PM DEBUG: Dumping Weight Vector to /cs/natlang-projects/glm-parser/new_results/weight/Weight_Iter_0.db 
11/18/2014 05:50:39 PM DEBUG: Total Feature Num: 8922842 
11/18/2014 05:52:50 PM DEBUG: Data finishing 2.51% ...
11/18/2014 05:55:00 PM DEBUG: Data finishing 5.02% ...
11/18/2014 05:57:09 PM DEBUG: Data finishing 7.53% ...
11/18/2014 05:59:15 PM DEBUG: Data finishing 10.04% ...
11/18/2014 06:01:20 PM DEBUG: Data finishing 12.55% ...
11/18/2014 06:03:32 PM DEBUG: Data finishing 15.06% ...
11/18/2014 06:05:43 PM DEBUG: Data finishing 17.57% ...
11/18/2014 06:07:51 PM DEBUG: Data finishing 20.08% ...
11/18/2014 06:09:58 PM DEBUG: Data finishing 22.59% ...
11/18/2014 06:12:09 PM DEBUG: Data finishing 25.11% ...
11/18/2014 06:14:11 PM DEBUG: Data finishing 27.62% ...
11/18/2014 06:16:12 PM DEBUG: Data finishing 30.13% ...
11/18/2014 06:18:28 PM DEBUG: Data finishing 32.64% ...
11/18/2014 06:20:35 PM DEBUG: Data finishing 35.15% ...
11/18/2014 06:22:33 PM DEBUG: Data finishing 37.66% ...
11/18/2014 06:24:44 PM DEBUG: Data finishing 40.17% ...
11/18/2014 06:26:35 PM DEBUG: Data finishing 42.68% ...
11/18/2014 06:28:34 PM DEBUG: Data finishing 45.19% ...
11/18/2014 06:30:48 PM DEBUG: Data finishing 47.70% ...
11/18/2014 06:32:43 PM DEBUG: Data finishing 50.21% ...
11/18/2014 06:34:48 PM DEBUG: Data finishing 52.72% ...
11/18/2014 06:36:50 PM DEBUG: Data finishing 55.23% ...
11/18/2014 06:38:57 PM DEBUG: Data finishing 57.74% ...
11/18/2014 06:40:58 PM DEBUG: Data finishing 60.25% ...
11/18/2014 06:43:07 PM DEBUG: Data finishing 62.76% ...
11/18/2014 06:45:13 PM DEBUG: Data finishing 65.27% ...
11/18/2014 06:47:15 PM DEBUG: Data finishing 67.78% ...
11/18/2014 06:49:12 PM DEBUG: Data finishing 70.30% ...
11/18/2014 06:51:23 PM DEBUG: Data finishing 72.81% ...
11/18/2014 06:53:29 PM DEBUG: Data finishing 75.32% ...
11/18/2014 06:55:43 PM DEBUG: Data finishing 77.83% ...
11/18/2014 06:57:32 PM DEBUG: Data finishing 80.34% ...
11/18/2014 06:59:41 PM DEBUG: Data finishing 82.85% ...
11/18/2014 07:01:40 PM DEBUG: Data finishing 85.36% ...
11/18/2014 07:04:05 PM DEBUG: Data finishing 87.87% ...
11/18/2014 07:06:13 PM DEBUG: Data finishing 90.38% ...
11/18/2014 07:08:17 PM DEBUG: Data finishing 92.89% ...
11/18/2014 07:10:18 PM DEBUG: Data finishing 95.40% ...
11/18/2014 07:12:30 PM DEBUG: Data finishing 97.91% ...
11/18/2014 07:14:30 PM DEBUG: Iteration: 2
11/18/2014 07:14:30 PM DEBUG: Data size: 39832
11/18/2014 07:14:30 PM DEBUG: Data finishing 0.00% ...
11/18/2014 07:14:37 PM DEBUG: Dumping Weight Vector to /cs/natlang-projects/glm-parser/new_results/weight/Weight_Iter_1.db 
11/18/2014 07:14:37 PM DEBUG: Total Feature Num: 9423694 
11/18/2014 07:16:52 PM DEBUG: Data finishing 2.51% ...
11/18/2014 07:19:02 PM DEBUG: Data finishing 5.02% ...
11/18/2014 07:21:13 PM DEBUG: Data finishing 7.53% ...
11/18/2014 07:23:20 PM DEBUG: Data finishing 10.04% ...
11/18/2014 07:25:27 PM DEBUG: Data finishing 12.55% ...
11/18/2014 07:27:41 PM DEBUG: Data finishing 15.06% ...
11/18/2014 07:29:54 PM DEBUG: Data finishing 17.57% ...
11/18/2014 07:32:05 PM DEBUG: Data finishing 20.08% ...
11/18/2014 07:34:15 PM DEBUG: Data finishing 22.59% ...
11/18/2014 07:36:28 PM DEBUG: Data finishing 25.11% ...
11/18/2014 07:38:31 PM DEBUG: Data finishing 27.62% ...
11/18/2014 07:40:34 PM DEBUG: Data finishing 30.13% ...
11/18/2014 07:42:52 PM DEBUG: Data finishing 32.64% ...
11/18/2014 07:45:01 PM DEBUG: Data finishing 35.15% ...
11/18/2014 07:47:00 PM DEBUG: Data finishing 37.66% ...
11/18/2014 07:49:13 PM DEBUG: Data finishing 40.17% ...
11/18/2014 07:51:04 PM DEBUG: Data finishing 42.68% ...
11/18/2014 07:53:05 PM DEBUG: Data finishing 45.19% ...
11/18/2014 07:55:21 PM DEBUG: Data finishing 47.70% ...
11/18/2014 07:57:17 PM DEBUG: Data finishing 50.21% ...
11/18/2014 07:59:24 PM DEBUG: Data finishing 52.72% ...
11/18/2014 08:01:27 PM DEBUG: Data finishing 55.23% ...
11/18/2014 08:03:38 PM DEBUG: Data finishing 57.74% ...
11/18/2014 08:05:42 PM DEBUG: Data finishing 60.25% ...
11/18/2014 08:07:54 PM DEBUG: Data finishing 62.76% ...
11/18/2014 08:10:01 PM DEBUG: Data finishing 65.27% ...
11/18/2014 08:12:05 PM DEBUG: Data finishing 67.78% ...
11/18/2014 08:14:03 PM DEBUG: Data finishing 70.30% ...
11/18/2014 08:16:16 PM DEBUG: Data finishing 72.81% ...
11/18/2014 08:18:23 PM DEBUG: Data finishing 75.32% ...
11/18/2014 08:20:39 PM DEBUG: Data finishing 77.83% ...
11/18/2014 08:22:27 PM DEBUG: Data finishing 80.34% ...
11/18/2014 08:24:36 PM DEBUG: Data finishing 82.85% ...
11/18/2014 08:26:36 PM DEBUG: Data finishing 85.36% ...
11/18/2014 08:29:00 PM DEBUG: Data finishing 87.87% ...
11/18/2014 08:31:08 PM DEBUG: Data finishing 90.38% ...
11/18/2014 08:33:12 PM DEBUG: Data finishing 92.89% ...
11/18/2014 08:35:13 PM DEBUG: Data finishing 95.40% ...
11/18/2014 08:37:25 PM DEBUG: Data finishing 97.91% ...
11/18/2014 08:39:28 PM DEBUG: Iteration: 3
11/18/2014 08:39:28 PM DEBUG: Data size: 39832
11/18/2014 08:39:28 PM DEBUG: Data finishing 0.00% ...
11/18/2014 08:39:35 PM DEBUG: Dumping Weight Vector to /cs/natlang-projects/glm-parser/new_results/weight/Weight_Iter_2.db 
11/18/2014 08:39:35 PM DEBUG: Total Feature Num: 9688890 
11/18/2014 08:41:49 PM DEBUG: Data finishing 2.51% ...
11/18/2014 08:44:01 PM DEBUG: Data finishing 5.02% ...
11/18/2014 08:46:14 PM DEBUG: Data finishing 7.53% ...
11/18/2014 08:48:23 PM DEBUG: Data finishing 10.04% ...
11/18/2014 08:50:32 PM DEBUG: Data finishing 12.55% ...
11/18/2014 08:52:47 PM DEBUG: Data finishing 15.06% ...
11/18/2014 08:55:02 PM DEBUG: Data finishing 17.57% ...
11/18/2014 08:57:13 PM DEBUG: Data finishing 20.08% ...
11/18/2014 08:59:25 PM DEBUG: Data finishing 22.59% ...
11/18/2014 09:01:40 PM DEBUG: Data finishing 25.11% ...
11/18/2014 09:03:44 PM DEBUG: Data finishing 27.62% ...
11/18/2014 09:05:49 PM DEBUG: Data finishing 30.13% ...
11/18/2014 09:08:09 PM DEBUG: Data finishing 32.64% ...
11/18/2014 09:10:19 PM DEBUG: Data finishing 35.15% ...
11/18/2014 09:12:20 PM DEBUG: Data finishing 37.66% ...
11/18/2014 09:14:36 PM DEBUG: Data finishing 40.17% ...
11/18/2014 09:16:29 PM DEBUG: Data finishing 42.68% ...
11/18/2014 09:18:32 PM DEBUG: Data finishing 45.19% ...
11/18/2014 09:20:49 PM DEBUG: Data finishing 47.70% ...
11/18/2014 09:22:47 PM DEBUG: Data finishing 50.21% ...
11/18/2014 09:24:55 PM DEBUG: Data finishing 52.72% ...
11/18/2014 09:27:01 PM DEBUG: Data finishing 55.23% ...
11/18/2014 09:29:11 PM DEBUG: Data finishing 57.74% ...
11/18/2014 09:31:15 PM DEBUG: Data finishing 60.25% ...
11/18/2014 09:33:29 PM DEBUG: Data finishing 62.76% ...
11/18/2014 09:35:38 PM DEBUG: Data finishing 65.27% ...
11/18/2014 09:37:43 PM DEBUG: Data finishing 67.78% ...
11/18/2014 09:39:43 PM DEBUG: Data finishing 70.30% ...
11/18/2014 09:41:57 PM DEBUG: Data finishing 72.81% ...
11/18/2014 09:44:07 PM DEBUG: Data finishing 75.32% ...
11/18/2014 09:46:24 PM DEBUG: Data finishing 77.83% ...
11/18/2014 09:48:14 PM DEBUG: Data finishing 80.34% ...
11/18/2014 09:50:25 PM DEBUG: Data finishing 82.85% ...
11/18/2014 09:52:26 PM DEBUG: Data finishing 85.36% ...
11/18/2014 09:54:53 PM DEBUG: Data finishing 87.87% ...
11/18/2014 09:57:04 PM DEBUG: Data finishing 90.38% ...
11/18/2014 09:59:09 PM DEBUG: Data finishing 92.89% ...
11/18/2014 10:01:12 PM DEBUG: Data finishing 95.40% ...
11/18/2014 10:03:26 PM DEBUG: Data finishing 97.91% ...
11/18/2014 10:05:32 PM DEBUG: Iteration: 4
11/18/2014 10:05:32 PM DEBUG: Data size: 39832
11/18/2014 10:05:32 PM DEBUG: Data finishing 0.00% ...
11/18/2014 10:05:39 PM DEBUG: Dumping Weight Vector to /cs/natlang-projects/glm-parser/new_results/weight/Weight_Iter_3.db 
11/18/2014 10:05:39 PM DEBUG: Total Feature Num: 9848843 
11/18/2014 10:07:53 PM DEBUG: Data finishing 2.51% ...
11/18/2014 10:10:06 PM DEBUG: Data finishing 5.02% ...
11/18/2014 10:12:19 PM DEBUG: Data finishing 7.53% ...
11/18/2014 10:14:29 PM DEBUG: Data finishing 10.04% ...
11/18/2014 10:16:38 PM DEBUG: Data finishing 12.55% ...
11/18/2014 10:18:54 PM DEBUG: Data finishing 15.06% ...
11/18/2014 10:21:09 PM DEBUG: Data finishing 17.57% ...
11/18/2014 10:23:21 PM DEBUG: Data finishing 20.08% ...
11/18/2014 10:25:32 PM DEBUG: Data finishing 22.59% ...
11/18/2014 10:27:48 PM DEBUG: Data finishing 25.11% ...
11/18/2014 10:29:53 PM DEBUG: Data finishing 27.62% ...
11/18/2014 10:31:58 PM DEBUG: Data finishing 30.13% ...
11/18/2014 10:34:19 PM DEBUG: Data finishing 32.64% ...
11/18/2014 10:36:29 PM DEBUG: Data finishing 35.15% ...
11/18/2014 10:38:31 PM DEBUG: Data finishing 37.66% ...
11/18/2014 10:40:46 PM DEBUG: Data finishing 40.17% ...
