12/10/2014 03:25:33 PM DEBUG: Loading data...
12/10/2014 03:25:33 PM DEBUG: Loading data...
12/10/2014 03:25:33 PM DEBUG: Initialize AveragePerceptronLearner ... 
12/10/2014 03:25:33 PM DEBUG: Loading data...
12/10/2014 03:25:33 PM DEBUG: Loading section 02 
12/10/2014 03:25:44 PM DEBUG: Loading section 03 
12/10/2014 03:25:54 PM DEBUG: Loading section 04 
12/10/2014 03:26:09 PM DEBUG: Loading section 05 
12/10/2014 03:26:23 PM DEBUG: Loading section 06 
12/10/2014 03:26:35 PM DEBUG: Loading section 07 
12/10/2014 03:26:50 PM DEBUG: Loading section 08 
12/10/2014 03:26:52 PM DEBUG: Loading section 09 
12/10/2014 03:27:08 PM DEBUG: Loading section 10 
12/10/2014 03:27:18 PM DEBUG: Loading section 11 
12/10/2014 03:27:35 PM DEBUG: Loading section 12 
12/10/2014 03:27:46 PM DEBUG: Loading section 13 
12/10/2014 03:28:06 PM DEBUG: Loading section 14 
12/10/2014 03:28:17 PM DEBUG: Loading section 15 
12/10/2014 03:28:37 PM DEBUG: Loading section 16 
12/10/2014 03:28:52 PM DEBUG: Loading section 17 
12/10/2014 03:29:00 PM DEBUG: Loading section 18 
12/10/2014 03:29:24 PM DEBUG: Loading section 19 
12/10/2014 03:29:34 PM DEBUG: Loading section 20 
12/10/2014 03:29:44 PM DEBUG: Loading section 21 
12/10/2014 03:29:53 PM DEBUG: Starting sequential train ... 
12/10/2014 03:29:53 PM DEBUG: Iteration: 0
12/10/2014 03:29:53 PM DEBUG: Data size: 39832
12/10/2014 03:29:53 PM DEBUG: Data finishing 0.00% ...
12/10/2014 03:32:41 PM DEBUG: Data finishing 2.51% ...
12/10/2014 03:35:20 PM DEBUG: Data finishing 5.02% ...
12/10/2014 03:38:00 PM DEBUG: Data finishing 7.53% ...
12/10/2014 03:40:27 PM DEBUG: Data finishing 10.04% ...
12/10/2014 03:42:58 PM DEBUG: Data finishing 12.55% ...
12/10/2014 03:45:54 PM DEBUG: Data finishing 15.06% ...
12/10/2014 03:48:31 PM DEBUG: Data finishing 17.57% ...
12/10/2014 03:51:14 PM DEBUG: Data finishing 20.08% ...
12/10/2014 03:54:01 PM DEBUG: Data finishing 22.59% ...
12/10/2014 03:56:36 PM DEBUG: Data finishing 25.11% ...
12/10/2014 03:59:10 PM DEBUG: Data finishing 27.62% ...
12/10/2014 04:01:38 PM DEBUG: Data finishing 30.13% ...
12/10/2014 04:04:26 PM DEBUG: Data finishing 32.64% ...
12/10/2014 04:07:04 PM DEBUG: Data finishing 35.15% ...
12/10/2014 04:09:43 PM DEBUG: Data finishing 37.66% ...
12/10/2014 04:12:21 PM DEBUG: Data finishing 40.17% ...
12/10/2014 04:14:58 PM DEBUG: Data finishing 42.68% ...
12/10/2014 04:17:24 PM DEBUG: Data finishing 45.19% ...
12/10/2014 04:20:03 PM DEBUG: Data finishing 47.70% ...
12/10/2014 04:22:26 PM DEBUG: Data finishing 50.21% ...
12/10/2014 04:24:51 PM DEBUG: Data finishing 52.72% ...
12/10/2014 04:27:20 PM DEBUG: Data finishing 55.23% ...
12/10/2014 04:29:53 PM DEBUG: Data finishing 57.74% ...
12/10/2014 04:32:41 PM DEBUG: Data finishing 60.25% ...
12/10/2014 04:35:12 PM DEBUG: Data finishing 62.76% ...
12/10/2014 04:37:48 PM DEBUG: Data finishing 65.27% ...
12/10/2014 04:40:17 PM DEBUG: Data finishing 67.78% ...
12/10/2014 04:43:00 PM DEBUG: Data finishing 70.30% ...
12/10/2014 04:45:49 PM DEBUG: Data finishing 72.81% ...
12/10/2014 04:48:19 PM DEBUG: Data finishing 75.32% ...
12/10/2014 04:50:41 PM DEBUG: Data finishing 77.83% ...
12/10/2014 04:53:17 PM DEBUG: Data finishing 80.34% ...
12/10/2014 04:55:58 PM DEBUG: Data finishing 82.85% ...
12/10/2014 04:58:34 PM DEBUG: Data finishing 85.36% ...
