12/12/2014 12:05:26 AM DEBUG: Loading data...
12/12/2014 12:05:26 AM DEBUG: Loading data...
12/12/2014 12:05:26 AM DEBUG: Initialize AveragePerceptronLearner ... 
12/12/2014 12:05:26 AM DEBUG: Loading data...
12/12/2014 12:05:26 AM DEBUG: Loading section 02 
12/12/2014 12:05:36 AM DEBUG: Loading section 03 
12/12/2014 12:05:46 AM DEBUG: Loading section 04 
12/12/2014 12:06:01 AM DEBUG: Loading section 05 
12/12/2014 12:06:14 AM DEBUG: Loading section 06 
12/12/2014 12:06:26 AM DEBUG: Loading section 07 
12/12/2014 12:06:40 AM DEBUG: Loading section 08 
12/12/2014 12:06:42 AM DEBUG: Loading section 09 
12/12/2014 12:06:58 AM DEBUG: Loading section 10 
12/12/2014 12:07:07 AM DEBUG: Loading section 11 
12/12/2014 12:07:24 AM DEBUG: Loading section 12 
12/12/2014 12:07:34 AM DEBUG: Loading section 13 
12/12/2014 12:07:54 AM DEBUG: Loading section 14 
12/12/2014 12:08:04 AM DEBUG: Loading section 15 
12/12/2014 12:08:24 AM DEBUG: Loading section 16 
12/12/2014 12:08:38 AM DEBUG: Loading section 17 
12/12/2014 12:08:47 AM DEBUG: Loading section 18 
12/12/2014 12:09:10 AM DEBUG: Loading section 19 
12/12/2014 12:09:19 AM DEBUG: Loading section 20 
12/12/2014 12:09:29 AM DEBUG: Loading section 21 
12/12/2014 12:09:37 AM DEBUG: Starting sequential train ... 
12/12/2014 12:09:37 AM DEBUG: Iteration: 0
12/12/2014 12:09:37 AM DEBUG: Data size: 39832
12/12/2014 12:09:37 AM DEBUG: Data finishing 0.00% ...
12/12/2014 12:12:17 AM DEBUG: Data finishing 2.51% ...
12/12/2014 12:14:49 AM DEBUG: Data finishing 5.02% ...
12/12/2014 12:17:22 AM DEBUG: Data finishing 7.53% ...
12/12/2014 12:19:43 AM DEBUG: Data finishing 10.04% ...
12/12/2014 12:22:07 AM DEBUG: Data finishing 12.55% ...
12/12/2014 12:24:56 AM DEBUG: Data finishing 15.06% ...
12/12/2014 12:27:25 AM DEBUG: Data finishing 17.57% ...
12/12/2014 12:30:01 AM DEBUG: Data finishing 20.08% ...
12/12/2014 12:32:41 AM DEBUG: Data finishing 22.59% ...
12/12/2014 12:35:09 AM DEBUG: Data finishing 25.11% ...
12/12/2014 12:37:36 AM DEBUG: Data finishing 27.62% ...
12/12/2014 12:39:57 AM DEBUG: Data finishing 30.13% ...
12/12/2014 12:42:38 AM DEBUG: Data finishing 32.64% ...
12/12/2014 12:45:09 AM DEBUG: Data finishing 35.15% ...
12/12/2014 12:47:41 AM DEBUG: Data finishing 37.66% ...
12/12/2014 12:50:13 AM DEBUG: Data finishing 40.17% ...
12/12/2014 12:52:43 AM DEBUG: Data finishing 42.68% ...
12/12/2014 12:55:03 AM DEBUG: Data finishing 45.19% ...
12/12/2014 12:57:35 AM DEBUG: Data finishing 47.70% ...
12/12/2014 12:59:52 AM DEBUG: Data finishing 50.21% ...
12/12/2014 01:02:10 AM DEBUG: Data finishing 52.72% ...
12/12/2014 01:04:33 AM DEBUG: Data finishing 55.23% ...
12/12/2014 01:06:58 AM DEBUG: Data finishing 57.74% ...
12/12/2014 01:09:39 AM DEBUG: Data finishing 60.25% ...
12/12/2014 01:12:03 AM DEBUG: Data finishing 62.76% ...
12/12/2014 01:14:33 AM DEBUG: Data finishing 65.27% ...
12/12/2014 01:16:56 AM DEBUG: Data finishing 67.78% ...
12/12/2014 01:19:31 AM DEBUG: Data finishing 70.30% ...
12/12/2014 01:22:13 AM DEBUG: Data finishing 72.81% ...
12/12/2014 01:24:37 AM DEBUG: Data finishing 75.32% ...
12/12/2014 01:26:52 AM DEBUG: Data finishing 77.83% ...
12/12/2014 01:29:21 AM DEBUG: Data finishing 80.34% ...
12/12/2014 01:31:55 AM DEBUG: Data finishing 82.85% ...
12/12/2014 01:34:23 AM DEBUG: Data finishing 85.36% ...
12/12/2014 01:37:06 AM DEBUG: Data finishing 87.87% ...
12/12/2014 01:39:27 AM DEBUG: Data finishing 90.38% ...
12/12/2014 01:41:50 AM DEBUG: Data finishing 92.89% ...
12/12/2014 01:44:20 AM DEBUG: Data finishing 95.40% ...
12/12/2014 01:46:47 AM DEBUG: Data finishing 97.91% ...
12/12/2014 01:49:15 AM DEBUG: Iteration: 1
