'(14, 9, [7], 2)' 2
'(3, 6, [14], 2)' 2
'(9, 13, [14], 2)' 2
'(12, 7, [2], 2)' 2
'(6, 10, [2], 2)' 2
'(10, 13, [14], 2)' 2
'(4, 6, [3], 1)' 1
'(6, 12, [0], 1)' 1
'(9, 11, [3], 2)' 2
'(2, 4, [1], 2)' 2
'(1, 11, [12], 2)' 2
'(12, 11, [10], 2)' 1
'(5, 3, [8], 2)' 2
'(11, 12, [9], 1)' 1
'(8, 10, [7], 1)' 1
'(5, 0, [11], 2)' 2
'(9, 12, [13], 1)' 1
'(7, 13, [4], 2)' 2
'(7, 8, [4], 1)' 1
'(5, 6, [11], 2)' 1
'(2, 3, [7], 1)' 1
'(7, 11, [14], 1)' 1
'(13, 14, [9], 2)' 1
'(7, 1, [11], 2)' 2
'(1, 5, [9], 2)' 2
'(1, 5, [13], 2)' 2
'(14, 11, [10], 2)' 2
'(9, 14, [6], 1)' 1
'(2, 3, [13], 1)' 1
'(14, 6, [5], 2)' 2
'(7, 9, [10], 2)' 2
'(4, 2, [0], 2)' 2
'(4, 5, [1], 1)' 1
'(4, 7, [9], 2)' 2
'(1, 5, [8], 1)' 1
'(10, 11, [9], 1)' 1
'(5, 14, [1], 1)' 1
'(0, 4, [7], 1)' 1
'(2, 5, [1], 2)' 2
'(6, 5, [11], 2)' 1
'(8, 9, [11], 2)' 1
'(14, 5, [8], 3)' 1
'(4, 5, [13], 1)' 1
'(6, 7, [12], 1)' 1
'(11, 9, [8], 2)' 2
'(2, 5, [0], 1)' 1
'(13, 5, [14], 2)' 2
'(2, 8, [11], 2)' 2
'(5, 9, [13], 1)' 1
'(0, 4, [9], 2)' 2
'(6, 8, [5], 2)' 2
'(14, 5, [12], 3)' 1
'(1, 4, [11], 2)' 2
'(4, 6, [1], 2)' 2
'(13, 7, [14], 2)' 2
'(6, 13, [1], 2)' 2
'(4, 6, [11], 2)' 2
'(7, 11, [5], 2)' 2
'(14, 7, [3], 2)' 2
'(6, 12, [4], 2)' 2
'(6, 13, [2], 1)' 1
'(3, 7, [1], 2)' 2
'(3, 2, [8], 2)' 1
'(3, 12, [2], 1)' 1
'(9, 10, [13], 1)' 1
'(1, 7, [10], 2)' 2
'(14, 6, [10], 3)' 1
'(11, 13, [4], 2)' 2
'(6, 8, [1], 2)' 2
'(14, 13, [1], 2)' 1
'(10, 8, [3], 2)' 2
'(2, 3, [12], 1)' 1
'(1, 3, [9], 2)' 2
'(12, 14, [5], 1)' 1
'(12, 4, [1], 2)' 2
'(5, 8, [9], 1)' 1
'(4, 5, [10], 1)' 1
'(5, 10, [14], 2)' 2
'(12, 9, [8], 2)' 2
'(3, 12, [13], 2)' 2
'(4, 5, [6], 1)' 1
'(5, 8, [13], 1)' 1
'(12, 10, [7], 2)' 2
'(10, 5, [13], 2)' 2
'(11, 12, [3], 1)' 1
'(2, 5, [13], 1)' 1
'(2, 13, [1], 2)' 2
'(2, 4, [0], 2)' 2
'(4, 5, None, 0)' 1
'(3, 14, [2], 1)' 1
'(7, 14, [0], 2)' 2
'(8, 7, [4], 2)' 1
'(0, 8, None, 0)' 1
'(1, 8, [0], 2)' 2
'(7, 4, [10], 2)' 2
'(9, 11, [8], 2)' 2
'(7, 14, [5], 1)' 1
'(1, 7, [11], 2)' 2
'(12, 14, [1], 1)' 1
'(9, 5, [1], 2)' 2
'(0, 7, [10], 1)' 1
'(14, 4, [8], 3)' 1
'(4, 7, [13], 2)' 2
'(2, 0, [7], 2)' 2
'(3, 9, [14], 1)' 1
'(1, 3, [10], 2)' 2
'(2, 9, [12], 2)' 2
'(6, 5, [1], 2)' 1
'(1, 9, [10], 1)' 1
'(3, 4, [0], 1)' 1
'(9, 11, [13], 2)' 2
'(14, 10, [5], 2)' 2
'(0, 1, [13], 2)' 1
'(4, 9, [2], 2)' 2
'(6, 10, [14], 2)' 2
'(10, 14, [7], 1)' 1
'(2, 5, [12], 1)' 1
'(1, 8, [10], 2)' 2
'(4, 7, [12], 1)' 1
'(13, 6, [14], 2)' 2
'(12, 7, [5], 2)' 2
'(12, 6, [14], 2)' 2
'(5, 2, [13], 2)' 2
'(2, 4, [9], 2)' 2
'(0, 9, [10], 2)' 2
'(14, 6, [7], 3)' 1
'(0, 7, [9], 1)' 1
'(8, 9, [10], 2)' 1
'(1, 6, [10], 2)' 2
'(10, 6, [14], 2)' 2
'(14, 5, [6], 3)' 1
'(5, 1, [7], 2)' 2
'(5, 7, [4], 2)' 2
'(9, 12, [8], 2)' 2
'(4, 1, [13], 2)' 2
'(11, 7, [13], 2)' 2
'(5, 11, [4], 1)' 1
'(11, 2, [0], 2)' 2
'(5, 0, [7], 2)' 2
'(7, 0, [10], 2)' 2
'(0, 13, [14], 2)' 2
'(10, 12, [13], 2)' 2
'(7, 12, [2], 1)' 1
'(12, 13, [4], 2)' 1
'(14, 13, None, 0)' 1
'(3, 7, [12], 2)' 2
'(7, 10, [14], 2)' 2
'(1, 3, [8], 2)' 2
'(8, 13, [6], 2)' 2
'(4, 3, [11], 2)' 1
'(3, 4, [2], 2)' 1
'(4, 3, [2], 2)' 1
'(2, 5, [10], 1)' 1
'(7, 9, [0], 1)' 1
'(4, 9, [13], 1)' 1
'(1, 13, [14], 2)' 2
'(5, 2, [8], 2)' 2
'(6, 12, [2], 2)' 2
'(3, 7, [0], 1)' 1
'(10, 14, [9], 2)' 2
'(5, 1, [12], 2)' 2
'(10, 9, [3], 2)' 1
'(8, 13, [1], 1)' 1
'(11, 9, [14], 2)' 2
'(3, 9, [11], 1)' 1
'(7, 6, [12], 2)' 1
'(14, 3, None, 0)' 1
'(10, 6, [4], 2)' 2
'(13, 2, [0], 2)' 2
'(8, 9, [6], 1)' 1
'(8, 7, [5], 2)' 1
'(12, 14, [2], 1)' 1
'(7, 11, [6], 1)' 1
'(1, 7, [0], 2)' 2
'(6, 2, [11], 2)' 2
'(8, 5, [4], 2)' 2
'(6, 14, [2], 1)' 1
'(2, 5, [9], 2)' 2
'(13, 9, [5], 2)' 2
'(10, 8, [7], 2)' 2
'(2, 9, [0], 2)' 2
'(9, 14, [1], 1)' 1
'(9, 12, [4], 1)' 1
'(8, 9, [3], 1)' 1
'(6, 4, [9], 2)' 2
'(2, 11, [13], 2)' 2
'(11, 10, [14], 2)' 1
'(10, 9, [0], 2)' 1
'(10, 14, [2], 2)' 2
'(4, 10, [1], 2)' 2
'(7, 4, [2], 2)' 2
'(3, 11, [2], 2)' 2
'(4, 0, [11], 2)' 2
'(1, 6, [14], 2)' 2
'(5, 10, [2], 2)' 2
'(1, 2, [6], 1)' 1
'(5, 6, [7], 1)' 1
'(4, 13, [1], 1)' 1
'(1, 10, [11], 1)' 1
'(6, 7, [1], 2)' 1
'(4, 8, [10], 2)' 2
'(11, 12, [0], 2)' 1
'(7, 0, [11], 2)' 2
'(7, 3, [14], 2)' 2
'(5, 8, [9], 2)' 2
'(2, 14, [1], 2)' 2
'(9, 12, [13], 2)' 2
'(8, 9, [0], 2)' 1
'(11, 12, [9], 2)' 1
'(13, 7, [1], 2)' 2
'(2, 3, [7], 2)' 1
'(11, 14, [9], 2)' 2
'(5, 0, [9], 2)' 2
'(8, 7, [2], 2)' 1
'(7, 11, [14], 2)' 2
'(1, 2, [4], 2)' 1
'(13, 10, [9], 2)' 2
'(14, 12, [0], 2)' 2
'(5, 6, [4], 2)' 1
'(10, 4, [12], 2)' 2
'(12, 11, [8], 2)' 1
'(3, 8, [11], 1)' 1
'(8, 11, [2], 1)' 1
'(12, 5, [0], 2)' 2
'(4, 11, [13], 2)' 2
'(7, 9, [10], 1)' 1
'(10, 0, [13], 2)' 2
'(1, 10, [13], 1)' 1
'(1, 5, [8], 2)' 2
'(7, 14, [2], 1)' 1
'(5, 8, [4], 2)' 2
'(8, 7, [3], 2)' 1
'(9, 12, [1], 2)' 2
'(3, 11, [14], 1)' 1
'(6, 9, [4], 2)' 2
'(1, 7, [10], 1)' 1
'(0, 11, [14], 2)' 2
'(8, 5, [13], 2)' 2
'(14, 11, [7], 2)' 2
'(3, 10, [0], 2)' 2
'(10, 9, [7], 2)' 1
'(1, 4, [11], 1)' 1
'(3, 1, [8], 2)' 2
'(2, 5, [8], 2)' 2
'(13, 14, [4], 1)' 1
'(3, 0, [12], 2)' 2
'(0, 8, [14], 2)' 2
'(6, 9, [5], 1)' 1
'(12, 7, [0], 2)' 2
'(3, 7, [2], 2)' 2
'(2, 6, [9], 2)' 2
'(9, 7, [14], 2)' 2
'(10, 13, [9], 1)' 1
'(9, 1, [12], 2)' 2
'(8, 9, [13], 2)' 1
'(14, 10, [0], 2)' 2
'(4, 6, [13], 2)' 2
'(1, 12, [0], 1)' 1
'(9, 5, [0], 2)' 2
'(2, 1, [6], 2)' 1
'(1, 8, [14], 1)' 1
'(3, 4, [1], 2)' 1
'(1, 3, [9], 1)' 1
'(6, 0, [9], 2)' 2
'(4, 5, [10], 2)' 1
'(13, 14, [9], 1)' 1
