03/10/2016 09:23:10 AM DEBUG: Loading data...
03/10/2016 09:23:10 AM DEBUG: Found directory: /Users/vivian/data/penn-wsj-deps/
03/10/2016 09:23:10 AM DEBUG: Found directory: /Users/vivian/data/penn-wsj-deps/00
03/10/2016 09:23:35 AM DEBUG: Loading data...
03/10/2016 09:23:35 AM DEBUG: Found directory: /Users/vivian/data/penn-wsj-deps/
03/10/2016 09:23:35 AM DEBUG: Found directory: /Users/vivian/data/penn-wsj-deps/00
03/10/2016 09:23:43 AM DEBUG: Found directory: /Users/vivian/data/penn-wsj-deps/01
03/10/2016 09:23:43 AM DEBUG: Found directory: /Users/vivian/data/penn-wsj-deps/02
03/10/2016 09:23:43 AM DEBUG: Found directory: /Users/vivian/data/penn-wsj-deps/03
03/10/2016 09:23:43 AM DEBUG: Found directory: /Users/vivian/data/penn-wsj-deps/04
03/10/2016 09:23:43 AM DEBUG: Found directory: /Users/vivian/data/penn-wsj-deps/05
03/10/2016 09:23:43 AM DEBUG: Found directory: /Users/vivian/data/penn-wsj-deps/06
03/10/2016 09:23:43 AM DEBUG: Found directory: /Users/vivian/data/penn-wsj-deps/07
03/10/2016 09:23:43 AM DEBUG: Found directory: /Users/vivian/data/penn-wsj-deps/08
03/10/2016 09:23:43 AM DEBUG: Found directory: /Users/vivian/data/penn-wsj-deps/09
03/10/2016 09:23:43 AM DEBUG: Found directory: /Users/vivian/data/penn-wsj-deps/10
03/10/2016 09:23:43 AM DEBUG: Found directory: /Users/vivian/data/penn-wsj-deps/11
03/10/2016 09:23:43 AM DEBUG: Found directory: /Users/vivian/data/penn-wsj-deps/12
03/10/2016 09:23:43 AM DEBUG: Found directory: /Users/vivian/data/penn-wsj-deps/13
03/10/2016 09:23:56 AM DEBUG: Loading data...
03/10/2016 09:23:56 AM DEBUG: Found directory: /Users/vivian/data/penn-wsj-deps/
03/10/2016 09:23:56 AM DEBUG: Found directory: /Users/vivian/data/penn-wsj-deps/00
03/10/2016 09:23:56 AM DEBUG: Found directory: /Users/vivian/data/penn-wsj-deps/01
03/10/2016 09:23:56 AM DEBUG: Found directory: /Users/vivian/data/penn-wsj-deps/02
03/10/2016 09:23:56 AM DEBUG: Found directory: /Users/vivian/data/penn-wsj-deps/03
03/10/2016 09:23:56 AM DEBUG: Found directory: /Users/vivian/data/penn-wsj-deps/04
03/10/2016 09:23:56 AM DEBUG: Found directory: /Users/vivian/data/penn-wsj-deps/05
03/10/2016 09:23:56 AM DEBUG: Found directory: /Users/vivian/data/penn-wsj-deps/06
03/10/2016 09:23:56 AM DEBUG: Found directory: /Users/vivian/data/penn-wsj-deps/07
03/10/2016 09:23:56 AM DEBUG: Found directory: /Users/vivian/data/penn-wsj-deps/08
03/10/2016 09:23:56 AM DEBUG: Found directory: /Users/vivian/data/penn-wsj-deps/09
03/10/2016 09:23:56 AM DEBUG: Found directory: /Users/vivian/data/penn-wsj-deps/10
03/10/2016 09:23:56 AM DEBUG: Found directory: /Users/vivian/data/penn-wsj-deps/11
03/10/2016 09:23:56 AM DEBUG: Found directory: /Users/vivian/data/penn-wsj-deps/12
03/10/2016 09:23:56 AM DEBUG: Found directory: /Users/vivian/data/penn-wsj-deps/13
03/10/2016 09:23:56 AM DEBUG: Found directory: /Users/vivian/data/penn-wsj-deps/14
03/10/2016 09:23:56 AM DEBUG: Found directory: /Users/vivian/data/penn-wsj-deps/15
03/10/2016 09:23:56 AM DEBUG: Found directory: /Users/vivian/data/penn-wsj-deps/16
03/10/2016 09:23:56 AM DEBUG: Found directory: /Users/vivian/data/penn-wsj-deps/17
03/10/2016 09:23:56 AM DEBUG: Found directory: /Users/vivian/data/penn-wsj-deps/18
